Date,Comment,tokens_stopword,clean_text,stemmed
2026-02-22T12:00:41Z,"['saya', 'masih', 'kelas', 'sma', 'saya', 'sangat', 'suka', 'menonton', 'podcast', 'seperti', 'ini']","['kelas', 'sma', 'sangat', 'suka', 'menonton', 'podcast']",kelas sma sangat suka menonton podcast,kelas sma sangat suka tonton podcast
2026-02-21T20:19:15Z,"['makasih', 'pak', 'pur', 'baya', 'sehat', 'selalu', 'buat', 'pak', 'pur', 'dan', 'keluwarga', 'tuhan', 'memberkatti', 'kita', 'semua']","['makasih', 'purbaya', 'baya', 'sehat', 'selalu', 'buat', 'purbaya', 'keluwarga', 'tuhan', 'memberkatti', 'semua']",makasih purbaya baya sehat selalu buat purbaya keluwarga tuhan memberkatti semua,makasih purbaya baya sehat selalu buat purbaya keluwarga tuhan memberkatti semua
2026-02-19T01:24:32Z,"['sebaiknya', 'pemerintah', 'mulai', 'menyeimbangkan', 'kondisi', 'bertindak', 'adil', 'transparansi', 'informatif', 'pajak', 'sangat', 'berperanan', 'menyeimbangkan', 'misal', 'banyak', 'rumah', 'kosong', 'satu', 'sisi', 'banyak', 'rakyat', 'terlantar', 'tidak', 'memiliki', 'tempat', 'berteduh', 'jaman', 'sudah', 'maju', 'teknologi', 'informasi', 'tapi', 'banyak', 'masyarakat', 'petani', 'bertabrakan', 'produksi', 'yang', 'berakibat', 'hasil', 'produksi', 'harga', 'jatuh']","['sebaiknya', 'pemerintah', 'mulai', 'menyeimbangkan', 'kondisi', 'bertindak', 'adil', 'transparansi', 'informatif', 'pajak', 'sangat', 'berperanan', 'menyeimbangkan', 'misal', 'banyak', 'rumah', 'kosong', 'satu', 'sisi', 'banyak', 'rakyat', 'terlantar', 'tidak', 'memiliki', 'tempat', 'berteduh', 'jaman', 'maju', 'teknologi', 'informasi', 'banyak', 'masyarakat', 'petani', 'bertabrakan', 'produksi', 'berakibat', 'hasil', 'produksi', 'harga', 'jatuh']",sebaiknya pemerintah mulai menyeimbangkan kondisi bertindak adil transparansi informatif pajak sangat berperanan menyeimbangkan misal banyak rumah kosong satu sisi banyak rakyat terlantar tidak memiliki tempat berteduh jaman maju teknologi informasi banyak masyarakat petani bertabrakan produksi berakibat hasil produksi harga jatuh,baik perintah mulai imbang kondisi tindak adil transparansi informatif pajak sangat peran imbang misal banyak rumah kosong satu sisi banyak rakyat lantar tidak milik tempat teduh jaman maju teknologi informasi banyak masyarakat tani tabrak produksi akibat hasil produksi harga jatuh
2026-02-18T18:03:50Z,['yoi'],['yoi'],yoi,yoi
2026-02-18T03:47:25Z,"['bla', 'bla', 'bla']","['bla', 'bla', 'bla']",bla bla bla,bla bla bla
2026-02-18T03:30:04Z,"['kalo', 'mau', 'tambah', 'banyak', 'ahli', 'dipermudah', 'dong', 'pak', 'syarat', 'beasiswa', 'semakin', 'banyak', 'yang', 'berangkat', 'semakin', 'besar', 'kemungkinan', 'bertambahnya', 'ahli']","['kalo', 'mau', 'tambah', 'banyak', 'ahli', 'dipermudah', 'dong', 'syarat', 'beasiswa', 'semakin', 'banyak', 'berangkat', 'semakin', 'besar', 'kemungkinan', 'bertambahnya', 'ahli']",kalo mau tambah banyak ahli dipermudah dong syarat beasiswa semakin banyak berangkat semakin besar kemungkinan bertambahnya ahli,kalo mau tambah banyak ahli mudah dong syarat beasiswa makin banyak berangkat makin besar mungkin tambah ahli
2026-02-18T01:51:54Z,"['timor', 'leste', 'penduduk', 'sudah', 'akses', 'listrik', 'gimana', 'dengan', 'indonesia', 'yang', 'sudah', 'merdeka', 'dan', 'mepunyai', 'sda', 'yang', 'mampuni']","['timor', 'leste', 'penduduk', 'akses', 'listrik', 'gimana', 'indonesia', 'merdeka', 'mepunyai', 'sda', 'mampuni']",timor leste penduduk akses listrik gimana indonesia merdeka mepunyai sda mampuni,timor leste duduk akses listrik gimana indonesia merdeka mepunyai sda mampuni
2026-02-14T06:06:35Z,"['perlunya', 'program', 'pemerintah', 'berkesinambungan', 'maka', 'contoh', 'garis', 'haluan', 'negara', 'berjangka', 'hingga', 'jelas', 'tujuan', 'bangsa', 'ini']","['perlunya', 'program', 'pemerintah', 'berkesinambungan', 'contoh', 'garis', 'haluan', 'negara', 'berjangka', 'hingga', 'jelas', 'tujuan', 'bangsa']",perlunya program pemerintah berkesinambungan contoh garis haluan negara berjangka hingga jelas tujuan bangsa,perlu program perintah sambung contoh garis haluan negara jangka hingga jelas tuju bangsa
2026-02-14T02:00:49Z,"['saya', 'suka', 'sekali']","['suka', 'sekali']",suka sekali,suka sekali
2026-02-13T16:26:28Z,"['diskusi', 'yang', 'luar', 'biasa', 'orang', 'orang', 'pinter', 'aset', 'bangsa', 'yang', 'cinta', 'terhadap', 'negaranya', 'sehingga', 'berlomba', 'dengan', 'segala', 'cara', 'untuk', 'membangun', 'negeri', 'indonesia', 'ini', 'terima', 'kasih', 'pak', 'purbaya', 'dan', 'pak', 'gita']","['diskusi', 'luar', 'biasa', 'orang', 'orang', 'pinter', 'aset', 'bangsa', 'cinta', 'negaranya', 'berlomba', 'segala', 'cara', 'membangun', 'negeri', 'indonesia', 'terima', 'kasih', 'purbaya', 'gita']",diskusi luar biasa orang orang pinter aset bangsa cinta negaranya berlomba segala cara membangun negeri indonesia terima kasih purbaya gita,diskusi luar biasa orang orang pinter aset bangsa cinta negara lomba segala cara bangun negeri indonesia terima kasih purbaya gita
